codigo_depto,departamento,anno,direct_dpto,merf_dpto
5,Antioquia,2011,51.472666180877226,54.108670490870715
5,Antioquia,2016,44.87553986109902,47.90607283715599
5,Antioquia,2021,44.76383423111234,45.9589995440474
8,Atlántico,2011,70.96087523500779,70.28259695685146
8,Atlántico,2016,62.943697566372336,63.7253974146951
8,Atlántico,2021,66.21132343733785,65.75582192484066
11,"Bogotá, D.C.",2011,51.59054328,52.565576296758934
11,"Bogotá, D.C.",2016,42.7539,43.59457339166654
11,"Bogotá, D.C.",2021,41.2139,42.13932844941439
13,Bolívar,2011,74.75098441914676,74.73267974875087
13,Bolívar,2016,69.57761598881042,69.45051927496988
13,Bolívar,2021,70.24228459743789,70.98142558585845
15,Boyacá,2011,70.08192481383163,70.26117543125397
15,Boyacá,2016,61.4329384557333,61.39453938108299
15,Boyacá,2021,55.683857626570905,56.516084214456775
17,Caldas,2011,60.212052928424775,62.926337041804366
17,Caldas,2016,51.922986882259764,55.72318357339218
17,Caldas,2021,47.48684921037919,50.83800583875084
18,Caquetá,2011,85.34332212263644,85.20296615147673
18,Caquetá,2016,75.47876365308801,75.88443878536339
18,Caquetá,2021,73.82922513941864,75.28992577536339
19,Cauca,2011,78.72006928609429,79.17143640222663
19,Cauca,2016,77.63828032083498,76.30265756343373
19,Cauca,2021,76.87139319718182,76.07860185579285
20,Cesar,2011,82.04722876447472,81.31485339278423
20,Cesar,2016,70.72321528155338,70.86012585365765
20,Cesar,2021,75.88525811029793,74.9245484858825
23,Córdoba,2011,85.62256198259061,84.97428408458627
23,Córdoba,2016,80.0539377063649,78.81667870008214
23,Córdoba,2021,80.38855607746355,80.1628906305218
25,Cundinamarca,2011,59.216696746246036,60.090581739502056
25,Cundinamarca,2016,52.51331337985363,51.64011722873952
25,Cundinamarca,2021,54.18642412959426,52.96719204316943
27,Chocó,2011,88.46569728805204,87.12792379646588
27,Chocó,2016,78.92483863192406,77.51412205171803
27,Chocó,2021,75.1792941863579,75.71515032593535
41,Huila,2011,76.9697164771623,76.76470622822987
41,Huila,2016,69.24611993990769,69.48417569224195
41,Huila,2021,69.0470835376262,69.19122842228478
44,La Guajira,2011,86.40991556069449,85.8543204667635
44,La Guajira,2016,79.32089239775742,78.71375247035346
44,La Guajira,2021,81.42559669151233,80.86600842462153
47,Magdalena,2011,78.13698220555511,79.19165724490918
47,Magdalena,2016,71.54794091796039,72.44331676926517
47,Magdalena,2021,74.6098355110661,74.33108226715642
50,Meta,2011,73.78460342443171,71.9741298535675
50,Meta,2016,64.01798235124166,62.98957642679571
50,Meta,2021,63.45464164160028,62.81380812741176
52,Nariño,2011,83.60858802287362,82.01738467156338
52,Nariño,2016,79.1986691405167,76.56791971959694
52,Nariño,2021,78.52231424266019,77.2391480709719
54,Norte de Santander,2011,79.16192240753577,76.68518519826866
54,Norte de Santander,2016,73.21081358214495,70.71035211581027
54,Norte de Santander,2021,74.44729698220917,72.71871583772568
63,Quindio,2011,69.00982872100118,69.35381515878896
63,Quindio,2016,61.14052531473618,61.31853930699379
63,Quindio,2021,59.08283422075503,58.967929651924614
66,Risaralda,2011,64.42277178293303,64.71463471136772
66,Risaralda,2016,57.825759893785516,58.04971063558296
66,Risaralda,2021,54.81714213945035,55.41633400236496
68,Santander,2011,67.53455706097515,66.16835562861729
68,Santander,2016,59.48847472305853,58.707135822927505
68,Santander,2021,58.8671029533352,58.445758253689434
70,Sucre,2011,83.92390059287621,83.84411405546334
70,Sucre,2016,81.32846987924368,78.65259711146227
70,Sucre,2021,82.77193974061345,81.72731347431761
73,Tolima,2011,75.01932034006428,73.96874594279537
73,Tolima,2016,66.7964530612739,65.66529874610607
73,Tolima,2021,62.81719072130223,63.10987031897209
76,Valle del Cauca,2011,64.0132912052779,65.48689804863895
76,Valle del Cauca,2016,56.40353485942059,57.81212197980648
76,Valle del Cauca,2021,58.32844559613886,58.595541239179546
81,Arauca,2016,64.96481,64.92109008566668
85,Casanare,2016,53.522330000000004,55.71781676233302
86,Putumayo,2016,63.791079999999994,65.45934955433306
91,Amazonas,2016,59.011700000000005,63.28802414833264
94,Guainía,2016,64.57706,66.4005174726663
95,Guaviare,2016,68.86567,67.96004388799996
97,Vaupés,2016,56.18433,63.216621399332404
99,Vichada,2016,67.91015,67.60493386033322
